nom,charte,image,"taille image",alternative,légende,appellations,typeappellation,année,pays,région-mère,similaire,sous-régions,localisation,saison,climat,jourssoleil,sol,superficietotale,superficieplantée,exploitations,cépages,vins,volproduction,densité,rendement,wikipedia_url,wikipedia_api
"Anjou villages",,USMC-120310-M-4694K-002.jpg,,,"Dégustation d'un anjou villages",anjou-villages,"Appellation d'origine contrôlée AOC",1991,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,"Maine-et-Loire et Deux-Sèvres",,"Climat tempéré tempéré Climat océanique océanique dégradé",,argilo-schisteux,,"165 hectares''Le Guide Hachette des vins 2011'', éditions Hachette, 2010. ISBN 978-2-01-237681-6",,"cabernet franc N","Vin rouge rouges","formatnum:5340 hectolitres en 2009","minimum formatnum:4000 pieds par ha","55 à 60 hl/ha",https://fr.wikipedia.org/wiki/Anjou_villages,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Anjou_villages
"Anjou villages brissac",,"Anjou villages brissac contre-étiquette.jpg",,,"Contre-étiquette de l'AOC",anjou-villages-brissac,"Appellation d'origine contrôlée AOC",1998,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,,,"87 hectares''Le Guide Hachette des vins 2011'', éditions Hachette, 2010. ISBN 978-2-01-237681-6",,"cabernet franc N et cabernet sauvignon N","Vin rouge rouges","formatnum:3150 hectolitres en 2009","minimum formatnum:4000 pieds par ha","50 à 56 hl/ha",https://fr.wikipedia.org/wiki/Anjou_villages_brissac,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Anjou_villages_brissac
Anjou,,,,,,"anjou (AOC) anjou","appellation d'origine contrôlée AOC",1957,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,"Maine-et-Loire, Deux-Sèvres et Vienne (département) Vienne",,"Climat tempéré tempéré Climat océanique océanique dégradé",,,,"unité 60 hectares",,"chenin blanc B (80 %), sauvignon B et chardonnay (cépage) chardonnay B","Vin effervescent mousseux","unité 3500 hectolitres",,,https://fr.wikipedia.org/wiki/Anjou_fines_bulles,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Anjou_fines_bulles
Anjou,,,,,,anjou-coteaux-de-la-loire,"Appellation d'origine contrôlée AOC",1946,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"Schiste schisteux, calcaires",,"28 hectares''Le Guide Hachette des vins 2011'', éditions Hachette, 2010. ISBN 978-2-01-237681-6",,"chenin B","Vin blanc blancs","formatnum:773 hectolitres en 2009","minimum formatnum:4000 pieds par ha","35 à 40 hl/ha",https://fr.wikipedia.org/wiki/Anjou-coteaux-de-la-loire,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Anjou-coteaux-de-la-loire
Bonnezeaux,,"Thouarcé Vignoble de Bonnezeaux.jpg",,,"Vignoble de Bonnezeaux",bonnezeaux,"Appellation d'origine contrôlée AOC",1951,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"terrains schisteux, parsemé de sables gréseux et de phtanitesGuide Vert Solar : ''Vins de France''. (Page n°22 sur ''Bonnezeaux'').",,"120 hectares",,"chenin B","Vin blanc blancs Vin liquoreux liquoreux","formatnum:2000 hectolitres","minimum formatnum:4000 pieds par ha","25 à 30 hl/ha",https://fr.wikipedia.org/wiki/Bonnezeaux,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Bonnezeaux
"Coteaux-du-Layon Chaume",,ChaudefondsSurLayon.jpg,,,"Dans la vallée du Layon (rivière) Layon, le parcellaire du Chaume, vue depuis le hameau d'Ardenay.","Coteaux-du-Layon Chaume","Appellation d'origine contrôlée AOC",1950,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"schistes et poudingues du carbonifèreGuide Vert Solar : ''Vins de France''. (Page n°84 sur ''Chaume'').",,"70 hectares",,"chenin B","Vin blanc blancs Vin liquoreux liquoreux","formatnum:1500 hectolitres","minimum formatnum:4000 pieds par ha","25 à 30 hl/ha",https://fr.wikipedia.org/wiki/Chaume_(AOC),https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Chaume_(AOC)
Coteaux-de-l'aubance,,"Carte coteaux aubance AOC 1.png",,,"Carte du vignoble des coteaux-de-l'aubance.",coteaux-de-l'aubance,"Appellation d'origine contrôlée AOC",1950,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"caillouteux et limono-sableux, sur fond schisteux et schisto-gréseuxGuide Vert Solar : ''Vins de France''. (Page n°79 sur ''Coteaux de l'aubance'').",,"179 hectares''Le Guide Hachette des vins 2011'', éditions Hachette, 2010. ISBN 978-2-01-237681-6",,"chenin B","Vin blanc blancs Vin moelleux moelleux","formatnum:5010 hectolitres en 2009","minimum formatnum:4000 pieds par ha","35 à 40 hl/ha",https://fr.wikipedia.org/wiki/Coteaux-de-l%27aubance,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Coteaux-de-l%27aubance
Coteaux-du-layon,,Coteauxlayon.jpg,,,"Vignes dans les coteaux du Layon culture en terrasses en terrasses sur la commune de Faye-d’Anjou entre les bourgs de Faye et de Rablay-sur-Layon Rablay.","Coteaux du Layon","Appellation d'origine contrôlée AOC","1950,",France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"Terrain à dominante schisteuse, argilo-schisteuse et siliceuseGuide Vert Solar : ''Vins de France''. (Page n°83 sur ''Coteaux du layon'').",,"formatnum:1700 hectares",,"chenin B","Vin blanc blancs, Vin moelleux moelleux ou Vin liquoreux liquoreux","formatnum:47500 hectolitres","minimum formatnum:4000 pieds par ha","35 à 40 hl/ha",https://fr.wikipedia.org/wiki/Coteaux-du-layon,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Coteaux-du-layon
Quarts-de-chaume,,"Quarts-de-chaume AOC.jpg",,,"Verre et bouteille de quarts-de-chaume",quarts-de-chaume,"Appellation d'origine contrôlée AOC",1954,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"schistes et poudingues",,"Unité 54 hectares",,"chenin B","Vin blanc blancs Vin liquoreux liquoreux","750 hectolitres","minimum formatnum:4000 pieds par ha","25 hl/ha",https://fr.wikipedia.org/wiki/Quarts-de-chaume,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Quarts-de-chaume
Savennières,,"Savennières, vignoble entourant le village.jpg",,,"Vignoble se prolongeant jusqu'au village d'Épiré",savennières,"Appellation d'origine contrôlée AOC",1952,France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"schistes et schistes gréseux",,"120 hectares''Le Guide Hachette des vins 2011'', éditions Hachette, 2010. ISBN 978-2-01-237681-6",,"chenin B","Vin blanc blancs sec ou Vin moelleux moelleux","formatnum:2945 hectolitres en 2009","minimum formatnum:4000 pieds par ha","50 hl/ha en blanc,35 hl/ha en moelleux",https://fr.wikipedia.org/wiki/Savenni%C3%A8res_(AOC),https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Savenni%C3%A8res_(AOC)
"Vallée de la Loire",,,,,,"vin du Thouarsais","Appellation d'origine vin délimité de qualité supérieure AOVDQS-appellation d'origine protégée AOP",1966,"FranceImage:Blason Poitou-Charentes 3D.svg 20pxPoitou-Charentes","Vignoble de la vallée de la Loire",,"PoitouPays thouarsais",Deux-Sèvres,,,,,,"unité 40 hectares","15 domaines","cabernet franc N, cabernet sauvignon N, gamay N, grolleau B, chenin B ou junot de Loire, Chardonnay (cépage) chardonnay B et sauvignon BLe code international d'écriture des cépages mentionne la couleur du raisin de la manière suivante : B blanc, N noir, Rs rose, G gris.",,"unité 2850 hectolitres",,,https://fr.wikipedia.org/wiki/Vin_du_Thouarsais,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Vin_du_Thouarsais
Coteaux-de-saumur,,,,,,coteaux-de-saumur,"Appellation d'origine contrôlée AOC",1962,France,"Vignoble de la vallée de la Loire vallée de la Loire",,"Anjou (Saumurois)","Maine-et-Loire, Deux-Sèvres et Vienne (département) Vienne",,"Climat tempéré tempéré Climat océanique océanique dégradé",,,,"11,5 hectares''Le Guide Hachette des vins 2011'', éditions Hachette, 2010. ISBN 978-2-01-237681-6",,"chenin B","Vin blanc blancs Vin moelleux moelleux","195 hectolitres en 2009","minimum formatnum:4000 pieds par ha","35 à 40 hl/ha",https://fr.wikipedia.org/wiki/Coteaux-de-saumur,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Coteaux-de-saumur
Saumur,,"Chateau fort de Saumur.jpg",,,"Vignoble près du château de Saumur","saumur et cabernet-de-saumur","Appellation d'origine contrôlée AOC","1936 (pour les vins tranquilles)",France,"Vignoble de la vallée de la Loire vallée de la Loire",,"Anjou (Saumurois)","Maine-et-Loire, Vienne (département) Vienne et Deux-Sèvres",,"Climat tempéré tempéré Climat océanique océanique dégradé",,"siliceux, sableux et argileux, sur fond de craie tuffeau",,"unité 1400 hectares",,"chenin B et cabernet franc NLe code international d'écriture des cépages mentionne de signaler la couleur du raisin : B blanc, N noir, Rs rose, G gris.","Vin rouge rouges,Vin blanc blancs, vins mousseux rouge et roséLien weburl","unité 76000 hectolitres","minimum unité 4000 pieds par ha","57 à 69 hl/ha en rouge,50 à 56 hl/ha en Puy-Notre-Dame,60 à 65 hl/ha en blanc",https://fr.wikipedia.org/wiki/Saumur_(AOC),https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Saumur_(AOC)
"Saumur brut",,"Vineyards in Saumur.jpg",,,"Vue d'une partie du Vignoble de Saumur","Saumur brut",AOC,1957,France,"vignoble de la vallée de la Loire",,"Anjou (Saumurois)","Maine-et-Loire, Deux-Sèvres et Vienne (département) Vienne",,"climat tempéré tempéré climat océanique océanique",,"siliceux, argileux, sableux et craie de tuffeau",,"unité 1400 hectares",,"chenin B, sauvignon B et cabernet franc NLe code international d'écriture des cépages mentionne de signaler la couleur du raisin : B blanc, N noir, Rs rose, G gris.","Vin effervescent","unité 90000 hectolitres","formatnum:4500 à unité 5000 pieds par hectare","67 à 76 hectolitres par hectare",https://fr.wikipedia.org/wiki/Saumur_brut,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Saumur_brut
Saumur-champigny,,VignoblesTurquant.jpg,,,"Dans les vignobles de l'appellation, à Turquant.",saumur-champigny,"Appellation d'origine contrôlée AOC",1957,France,"Vignoble de la vallée de la Loire vallée de la Loire",,"Anjou (Saumurois)",Maine-et-Loire,,"Climat tempéré tempéré Climat océanique océanique dégradé",,"argilo-calcaires, sables éoliens, sur fond de craie turonienne",,"unité 1580 hectares",,"cabernet franc NLe code international d'écriture des cépages mentionne de signaler la couleur du raisin : B blanc, N noir, Rs rose, G gris.","Vin rouge rouges","unité 83000 hectolitres","minimum unité 4000 ceps à l'hectare","57 à 69 hl/ha",https://fr.wikipedia.org/wiki/Saumur-champigny,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Saumur-champigny

